,Name,Height,Weight,Reach,Stance,DOB,SLpm,SAcc,SApm,StrDef,TDAvg,TDAcc,TDDef,SubAvg,Name,Height,Weight,Reach,Stance,DOB,SLpm,SAcc,SApm,StrDef,TDAvg,TDAcc,TDDef,SubAvg,Win
0,Ciryl Gane,1.9304,245,81,Orthodox,1990,4.83,0.58,2.27,0.62,0.69,0.22,0.55,0.6,Tai Tuivasa,1.8796,264,75,Southpaw,1993,4.54,0.52,3.56,0.48,0,0,0.5,0,1
1,Robert Whittaker,1.8288,185,73,Orthodox,1990,4.45,0.42,3.32,0.6,0.81,0.35,0.83,0,Marvin Vettori,1.8288,185,74,Southpaw,1993,4.35,0.45,3.48,0.59,2.04,0.45,0.76,0.6,1
2,Alessio Di Chirico,1.8288,185,74,Orthodox,1989,3.3,0.41,3.24,0.62,1.62,0.45,0.83,0,Roman Kopylov,1.8288,185,75,Southpaw,1991,2.72,0.42,3.93,0.55,0.52,0.33,0.83,0,0
3,Khalid Taha,1.651,135,69,Orthodox,1992,2.69,0.33,4.02,0.45,0,0,0.61,0.3,Christian Quinonez,1.7018,135,70,Orthodox,1996,5.07,0.41,5.2,0.6,1,1,1,0,0
4,Nasrat Haqparast,1.778,155,72,Southpaw,1995,5.17,0.45,4.7,0.66,0.13,0.14,0.78,0,John Makdessi,1.7272,155,68,Orthodox,1985,5.57,0.51,4.02,0.69,0,0,0.89,0,1
5,Charles Jourdain,1.7526,145,69,Switch,1995,5.6,0.49,4.53,0.6,0,0,0.46,0.6,Nathaniel Wood,1.6764,135,69,Orthodox,1993,6.28,0.46,4.36,0.53,1.29,0.46,0.75,0.9,0
6,Nassourdine Imavov,1.905,185,75,Orthodox,1995,4.29,0.56,2.23,0.55,0.62,0.2,0.72,2.5,Joaquin Buckley,1.778,185,76,Southpaw,1994,3.94,0.36,3.88,0.51,2,0.35,0.4,0,1
7,Kamaru Usman,1.8288,170,76,Switch,1987,4.66,0.52,2.59,0.58,3,0.49,1,0.1,Leon Edwards,1.8796,170,74,Southpaw,1991,2.62,0.49,2.15,0.55,1.48,0.35,0.7,0.3,0
8,Paulo Costa,1.8542,185,72,Orthodox,1991,6.85,0.59,7.02,0.48,0.21,0.5,0.8,0,Luke Rockhold,1.905,185,77,Southpaw,1984,4.18,0.48,2.43,0.56,0.67,0.3,0.68,1.1,1
9,Merab Dvalishvili,1.6764,135,68,Orthodox,1991,4.26,0.41,2.28,0.6,7.3,0.45,0.78,0.3,Jose Aldo,1.7018,135,70,Orthodox,1986,3.61,0.46,3.74,0.6,0.51,0.54,0.9,0.2,1
10,Alexandr Romanov,1.8796,262,75,Southpaw,1990,4.23,0.52,1.35,0.43,6.46,0.69,0.2,1.6,Marcin Tybura,1.905,249,78,Orthodox,1985,3.65,0.49,3.44,0.54,1.54,0.32,0.82,0.1,0
11,Tyson Pedro,1.905,205,79,Orthodox,1991,2.89,0.64,2.36,0.51,0.66,0.25,0.52,1.3,Harry Hunsucker,1.8796,241,75,Orthodox,1989,3.83,0.52,6.7,0.42,0,0,0,2.4,1
