,Name,Height,Weight,Reach,Stance,DOB,SLpm,SAcc,SApm,StrDef,TDAvg,TDAcc,TDDef,SubAvg,Name_1,Height_1,Weight_1,Reach_1,Stance_1,DOB_1,SLpm_1,SAcc_1,SApm_1,StrDef_1,TDAvg_1,TDAcc_1,TDDef_1,SubAvg_1,Win
0,,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Khamzat Chimaev,1.8796000000000002,170,75,Orthodox,1994,7.89,0.59,4.3,0.41,3.23,0.66,1.0,2.7,Nate Diaz,1.8288000000000002,170,76,Southpaw,1985,4.51,0.45,3.73,0.52,1.1,0.3,0.41,1.3,1
2,Li Jingliang,1.8288000000000002,170,71,Orthodox,1988,4.42,0.42,3.74,0.58,1.25,0.39,0.58,0.0,Tony Ferguson,1.8034,155,76,Orthodox,1984,5.12,0.45,3.81,0.58,0.41,0.42,0.66,1.1,1
3,Kevin Holland,1.9050000000000002,170,81,Orthodox,1992,3.84,0.55,2.38,0.55,0.87,0.45,0.49,0.5,Daniel Rodriguez,1.8542000000000003,170,74,Southpaw,1986,8.06,0.5,5.38,0.57,0.84,0.55,0.76,0.2,1
4,Irene Aldana,1.7526,135,68,Orthodox,1988,5.61,0.39,5.94,0.6,0.22,0.5,0.84,0.1,Macy Chiasson,1.8034,145,72,Orthodox,1991,3.7,0.45,2.56,0.46,1.95,0.33,0.64,0.4,1
5,Ion Cutelaba,1.8542000000000003,205,75,Southpaw,1993,4.81,0.42,3.39,0.48,4.75,0.62,0.79,0.0,Johnny Walker,1.9812000000000003,205,82,Orthodox,1992,3.45,0.58,2.78,0.42,0.23,1.0,0.62,0.7,1
6,Hakeem Dawodu,1.7272,145,73,Orthodox,1991,5.39,0.5,2.72,0.59,0.0,0.0,0.65,0.0,Julian Erosa,1.8542000000000003,145,74,Southpaw,1989,6.29,0.48,6.51,0.48,1.69,0.52,0.61,0.8,1
7,Anton Turkalj,1.9304000000000001,205,-,,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jailton Almeida,1.9050000000000002,205,79,Orthodox,1991,3.48,0.53,0.49,0.12,6.27,0.66,0.5,2.1,1
8,Jamie Pickett,1.8796000000000002,185,80,Orthodox,1988,2.89,0.5,3.97,0.46,1.57,0.47,0.64,0.2,Denis Tiuliulin,1.8542000000000003,185,77,Orthodox,1988,4.45,0.37,6.03,0.37,0.0,0.0,0.33,0.0,1
9,Jake Collier,1.9050000000000002,230,78,Orthodox,1988,5.67,0.43,4.65,0.51,0.81,0.33,0.67,0.4,Chris Barnett,1.7526,265,75,Orthodox,1986,3.6,0.45,5.59,0.37,0.0,0.0,0.0,0.0,1
10,Norma Dumont,1.7018,145,67,Orthodox,1990,3.67,0.5,2.19,0.67,1.02,0.45,0.7,0.0,Danyelle Wolf,1.8034,145,70,Orthodox,1983,3.4,0.28,5.67,0.44,0.0,0.0,1.0,1.0,1
11,Alatengheili,1.651,135,66,Orthodox,1991,2.86,0.33,5.07,0.58,1.73,0.33,0.72,0.0,Chad Anheliger,1.6764000000000001,135,64,Orthodox,1986,3.99,0.54,3.33,0.5,0.0,0.0,0.52,1.6,1
12,Darian Weeks,1.8034,170,72,Orthodox,1993,5.27,0.55,6.07,0.49,2.5,0.45,0.0,0.0,Yohan Lainesse,1.8542000000000003,170,76,Orthodox,1992,4.32,0.49,4.69,0.6,2.82,0.4,0.0,1.4,1
